x, y, head, bump, ifr, batt
45, 28, 73.3, 1, 0, 487.5
44, 28, 117.7, 0, 0, 486.0
44, 28, 117.7, 1, 0, 485.5
44, 28, 9.9, 0, 0, 484.0
45, 28, 9.9, 0, 0, 482.6
46, 28, 9.9, 0, 0, 481.2
47, 28, 9.9, 0, 0, 479.8
48, 28, 9.9, 0, 0, 478.4
48, 28, 9.9, 1, 0, 477.5
48, 28, 87.8, 0, 0, 476.0
48, 28, 87.8, 1, 0, 475.5
48, 27, 290.3, 0, 0, 474.0
48, 26, 290.3, 0, 0, 472.6
48, 26, 290.3, 1, 0, 471.5
47, 26, 151.2, 0, 0, 470.0
46, 26, 151.2, 0, 0, 468.6
45, 27, 151.2, 0, 4, 467.2
45, 27, 151.2, 0, 3, 466.7
45, 27, 151.2, 0, 2, 466.2
45, 27, 151.2, 0, 1, 465.7
45, 27, 151.2, 0, 0, 465.2
46, 27, 0.0, 0, 5, 464.1
46, 27, 90.0, 0, 4, 463.5
46, 27, 90.0, 0, 3, 463.0
46, 27, 90.0, 0, 2, 462.5
46, 27, 90.0, 0, 1, 462.0
46, 27, 90.0, 0, 0, 461.5
46, 28, 90.0, 0, 0, 460.1
45, 28, 180.0, 0, 0, 458.6
45, 27, 270.0, 0, 0, 457.1
46, 27, 0.0, 0, 0, 455.6
46, 28, 90.0, 0, 0, 454.1
46, 28, 90.0, 1, 0, 453.5
45, 28, 180.0, 0, 0, 452.0
44, 28, 180.0, 0, 0, 450.6
44, 27, 270.0, 0, 0, 449.1
44, 26, 270.0, 0, 0, 447.7
45, 26, 0.0, 0, 0, 446.2
46, 26, 0.0, 0, 0, 444.8
46, 27, 90.0, 0, 0, 443.3
46, 28, 90.0, 0, 0, 441.9
45, 28, 180.0, 0, 0, 440.4
44, 28, 180.0, 0, 0, 439.0
43, 28, 180.0, 0, 0, 437.6
43, 27, 270.0, 0, 3, 436.1
43, 27, 270.0, 0, 2, 435.6
43, 27, 270.0, 0, 1, 435.1
43, 27, 270.0, 0, 0, 434.6
43, 26, 270.0, 0, 0, 433.2
43, 25, 270.0, 0, 0, 431.8
44, 25, 0.0, 0, 0, 430.3
45, 25, 0.0, 0, 0, 428.9
46, 25, 0.0, 0, 0, 427.5
46, 26, 90.0, 0, 0, 426.0
46, 27, 90.0, 0, 0, 424.6
46, 28, 90.0, 0, 0, 423.2
45, 28, 180.0, 0, 0, 421.7
44, 28, 180.0, 0, 0, 420.3
43, 28, 180.0, 0, 0, 418.9
43, 27, 270.0, 0, 0, 417.4
43, 26, 270.0, 0, 0, 416.0
43, 25, 270.0, 0, 0, 414.6
43, 24, 270.0, 0, 0, 413.2
44, 24, 0.0, 0, 0, 411.7
45, 24, 0.0, 0, 1, 410.3
45, 24, 0.0, 0, 0, 409.8
46, 24, 0.0, 0, 0, 408.4
47, 24, 0.0, 0, 3, 407.0
47, 24, 90.0, 0, 2, 406.4
47, 24, 90.0, 0, 1, 405.9
47, 24, 90.0, 0, 0, 405.4
47, 25, 90.0, 0, 0, 404.0
47, 26, 90.0, 0, 0, 402.6
47, 27, 90.0, 0, 0, 401.2
47, 28, 90.0, 0, 0, 399.8
46, 28, 180.0, 0, 0, 398.3
45, 28, 180.0, 0, 0, 396.9
44, 28, 180.0, 0, 0, 395.5
43, 28, 180.0, 0, 0, 394.1
43, 27, 270.0, 0, 0, 392.6
43, 26, 270.0, 0, 0, 391.2
43, 25, 270.0, 0, 0, 389.8
43, 24, 270.0, 0, 0, 388.4
43, 24, 87.3, 0, 0, 386.8
43, 25, 87.3, 0, 0, 385.4
43, 26, 87.3, 0, 0, 384.0
43, 27, 87.3, 0, 0, 382.6
43, 28, 87.3, 0, 0, 381.2
43, 28, 87.3, 1, 0, 380.5
43, 27, 326.0, 0, 0, 379.0
44, 26, 326.0, 0, 0, 377.6
45, 26, 326.0, 0, 0, 376.2
46, 25, 326.0, 0, 0, 374.8
47, 25, 326.0, 0, 0, 373.4
47, 24, 326.0, 0, 0, 372.0
48, 24, 326.0, 0, 0, 370.6
48, 24, 326.0, 1, 0, 369.5
48, 24, 68.8, 0, 0, 368.0
48, 25, 68.8, 0, 0, 366.6
48, 25, 68.8, 1, 0, 365.5
47, 24, 218.5, 0, 0, 364.0
46, 23, 218.5, 0, 0, 362.6
45, 23, 218.5, 0, 0, 361.2
44, 22, 218.5, 0, 0, 359.8
44, 21, 218.5, 0, 0, 358.4
43, 21, 218.5, 0, 0, 357.0
42, 20, 218.5, 0, 0, 355.6
41, 20, 218.5, 0, 0, 354.2
40, 19, 218.5, 0, 0, 352.8
40, 18, 218.5, 0, 0, 351.4
